3 16 4
41062.3 29260.8 27411.4  916.466 718.342 573.89  20.716 20.0964 14.3486  0.471193 0.745879 0.348424  
6697.13 4781.63 4476.71  5639.24 4004.72 3759.42  4705.08 3366.9 3154.75  3975.95 2846.58 2655.16  
34376.9 24312.8 22906.9  6214.48 4572.93 4152.76  1148.28 909.173 770.329  212.56 164.007 137.979  
6697.13 4781.63 4476.71  5615.47 4015.26 3760.22  4722.23 3375.95 3159.15  3977.57 2844.49 2650.88  
39818.4 28311.8 26578.3  2060.15 1583.81 1347.05  114.685 97.1671 70.5026  6.41191 6.77719 3.92874  
34376.9 24312.8 22906.9  6189.36 4552.4 4141.49  1171.97 921.84 779.317  213.396 172.414 140.867  
6697.13 4781.63 4476.71  5640.03 4006.15 3754.63  4704.96 3366.67 3155.51  3986.74 2833.9 2655.06  
34376.9 24312.8 22906.9  6214.14 4605.82 4165.33  1143.87 865.517 754.37  216.089 174.764 141.769  
34376.9 24312.8 22906.9  6214.48 4572.93 4152.76  1148.28 909.173 770.329  212.56 164.007 137.979  
6697.13 4781.63 4476.71  5623.83 4022.37 3760.47  4720.91 3374.82 3159.11  3971.68 2840.58 2643.78  
6697.13 4781.63 4476.71  5593.72 4030.43 3746.21  4707.39 3386.28 3149.6  3976.91 2834.38 2657.92  
6697.13 4781.63 4476.71  5593.72 4030.43 3746.21  4707.39 3386.28 3149.6  3976.91 2834.38 2657.92  
15936.8 11258.9 10608.6  9887.85 7068.26 6601.16  6130.26 4399.48 4079.64  3810.83 2723.44 2539.37  
39818.4 28311.8 26578.3  2069.42 1592.15 1347.31  106.428 90.5261 70.4826  5.47487 5.15916 3.68927  
34376.9 24312.8 22906.9  6197.66 4527.22 4128.7  1167.11 937.463 786.433  211.545 179.789 145.089  
15936.8 11258.9 10608.6  9846.37 6935.32 6542.56  6126.27 4430.86 4111.75  3817.69 2793.73 2557.88  
